"Date","Hour","Model","Box ","Temperature [°C]","Time","Pressure","Period"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:10","2.04","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:15","0.58","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:20","0.32","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:25","0.22","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:30","0.18","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:35","0.16","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:40","0.13","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:45","0.11","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:50","0.1","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:00:55","0.09","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:00","0.08","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:05","0.08","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:10","0.07","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:15","0.07","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:20","0.07","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:25","0.07","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:30","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:35","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:40","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:45","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:50","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:01:55","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:00","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:05","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:10","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:15","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:20","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:25","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:30","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:35","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:40","0.06","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:45","0.05","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:50","0.05","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:02:55","0.05","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:03:00","0.05","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:03:05","0.05","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:03:10","0.05","Winter"
"3/21/2018","16:44:40","0200338 - MİELE 3 KAPI BM36  220V AU (MCII) (MB36YI030A)","23","26.36","0-00:03:15","0.05","Winter"
